Row,Year,Type,AL,Totals,"Children, armed, or not in labor force",Employed,Unemployed
61,2003,Children under 15,AK,161,161,.,.
62,2003,Children under 15,AZ,"1,256","1,256",.,.
63,2003,Children under 15,AR,561,561,.,.
64,2003,Children under 15,CA,"8,008","8,008",.,.
65,2003,Children under 15,CO,961,961,.,.
66,2003,Children under 15,CT,732,732,.,.
67,2003,Children under 15,DE,159,159,.,.
68,2003,Children under 15,DC,99,99,.,.
69,2003,Children under 15,FL,"3,160","3,160",.,.
70,2003,Children under 15,GA,"1,915","1,915",.,.
71,2003,Children under 15,HI,277,277,.,.
72,2003,Children under 15,ID,302,302,.,.
73,2003,Children under 15,IL,"2,751","2,751",.,.
74,2003,Children under 15,IN,"1,318","1,318",.,.
75,2003,Children under 15,IA,567,567,.,.
76,2003,Children under 15,KS,574,574,.,.
77,2003,Children under 15,KY,770,770,.,.
78,2003,Children under 15,LA,961,961,.,.
79,2003,Children under 15,ME,221,221,.,.
80,2003,Children under 15,MD,"1,150","1,150",.,.
81,2003,Children under 15,MA,"1,225","1,225",.,.
82,2003,Children under 15,MI,"2,131","2,131",.,.
83,2003,Children under 15,MN,"1,022","1,022",.,.
84,2003,Children under 15,MS,628,628,.,.
85,2003,Children under 15,MO,"1,153","1,153",.,.
86,2003,Children under 15,MT,171,171,.,.
87,2003,Children under 15,NE,368,368,.,.
88,2003,Children under 15,NV,476,476,.,.
89,2003,Children under 15,NH,247,247,.,.
90,2003,Children under 15,NJ,"1,777","1,777",.,.
91,2003,Children under 15,NM,419,419,.,.
92,2003,Children under 15,NY,"3,862","3,862",.,.
93,2003,Children under 15,NC,"1,721","1,721",.,.
94,2003,Children under 15,ND,119,119,.,.
95,2003,Children under 15,OH,"2,398","2,398",.,.
96,2003,Children under 15,OK,721,721,.,.
97,2003,Children under 15,OR,719,719,.,.
98,2003,Children under 15,PA,"2,343","2,343",.,.
99,2003,Children under 15,RI,196,196,.,.
100,2003,Children under 15,SC,800,800,.,.
101,2003,Children under 15,SD,157,157,.,.
102,2003,Children under 15,TN,"1,150","1,150",.,.
103,2003,Children under 15,TX,"5,111","5,111",.,.
104,2003,Children under 15,UT,612,612,.,.
105,2003,Children under 15,VT,111,111,.,.
106,2003,Children under 15,VA,"1,471","1,471",.,.
107,2003,Children under 15,WA,"1,274","1,274",.,.
108,2003,Children under 15,WV,309,309,.,.
109,2003,Children under 15,WI,"1,086","1,086",.,.
110,2003,Children under 15,WY,97,97,.,.
111,2003,No high school diploma,Totals,"47,255","27,860","16,835","2,560"
113,2003,No high school diploma,AL,900,621,231,49
114,2003,No high school diploma,AK,83,48,28,8
115,2003,No high school diploma,AZ,891,481,341,69
116,2003,No high school diploma,AR,503,333,153,17
117,2003,No high school diploma,CA,"6,497","3,571","2,551",375
118,2003,No high school diploma,CO,603,322,246,35
119,2003,No high school diploma,CT,480,282,164,34
120,2003,No high school diploma,DE,115,63,46,6
121,2003,No high school diploma,DC,88,55,27,5
122,2003,No high school diploma,FL,"2,745","1,702",941,102
123,2003,No high school diploma,GA,"1,359",764,562,34
124,2003,No high school diploma,HI,157,104,48,4
125,2003,No high school diploma,ID,186,103,66,18
126,2003,No high school diploma,IL,"1,939","1,149",664,126
127,2003,No high school diploma,IN,961,575,320,66
128,2003,No high school diploma,IA,406,230,158,19
129,2003,No high school diploma,KS,387,227,137,24
130,2003,No high school diploma,KY,748,481,210,56
131,2003,No high school diploma,LA,885,584,264,38
132,2003,No high school diploma,ME,197,126,60,11
133,2003,No high school diploma,MD,771,443,294,34
134,2003,No high school diploma,MA,935,604,291,41
135,2003,No high school diploma,MI,"1,397",880,442,76
136,2003,No high school diploma,MN,590,325,219,47
137,2003,No high school diploma,MS,535,357,166,12
138,2003,No high school diploma,MO,740,441,268,31
139,2003,No high school diploma,MT,121,83,32,6
140,2003,No high school diploma,NE,198,97,84,17
141,2003,No high school diploma,NV,345,183,146,16
142,2003,No high school diploma,NH,143,86,52,5
143,2003,No high school diploma,NJ,"1,285",800,417,68
144,2003,No high school diploma,NM,341,199,121,21
145,2003,No high school diploma,NY,"3,210","1,975","1,074",160
146,2003,No high school diploma,NC,"1,499",920,470,109
147,2003,No high school diploma,ND,81,54,23,4
148,2003,No high school diploma,OH,"1,679",941,621,117
149,2003,No high school diploma,OK,579,360,202,17
150,2003,No high school diploma,OR,509,284,188,37
151,2003,No high school diploma,PA,"1,929","1,260",592,78
152,2003,No high school diploma,RI,198,115,73,11
153,2003,No high school diploma,SC,787,533,223,31
154,2003,No high school diploma,SD,110,60,45,5
155,2003,No high school diploma,TN,"1,057",647,375,36
156,2003,No high school diploma,TX,"4,572","2,362","1,962",248
157,2003,No high school diploma,UT,334,168,124,42
158,2003,No high school diploma,VT,85,51,29,5
159,2003,No high school diploma,VA,"1,035",598,378,59
160,2003,No high school diploma,WA,843,475,303,65
161,2003,No high school diploma,WV,371,292,65,14
162,2003,No high school diploma,WI,781,412,317,52
163,2003,No high school diploma,WY,62,36,22,4
164,2003,High school or equivalent,Totals,"67,668","23,805","40,658","3,205"
166,2003,High school or equivalent,AL,"1,074",395,647,33
167,2003,High school or equivalent,AK,142,45,85,12
168,2003,High school or equivalent,AZ,"1,129",423,659,46
169,2003,High school or equivalent,AR,762,305,434,23
170,2003,High school or equivalent,CA,"6,044","2,103","3,591",350
171,2003,High school or equivalent,CO,916,286,594,36
172,2003,High school or equivalent,CT,803,275,501,27
173,2003,High school or equivalent,DE,214,76,133,5
174,2003,High school or equivalent,DC,99,40,53,5
175,2003,High school or equivalent,FL,"4,008","1,647","2,217",144
176,2003,High school or equivalent,GA,"2,179",737,"1,357",85
177,2003,High school or equivalent,HI,284,114,161,9
178,2003,High school or equivalent,ID,306,89,204,13
179,2003,High school or equivalent,IL,"3,003","1,081","1,759",163
180,2003,High school or equivalent,IN,"1,809",589,"1,154",65
181,2003,High school or equivalent,IA,772,230,515,27
182,2003,High school or equivalent,KS,589,210,359,21
183,2003,High school or equivalent,KY,"1,092",409,629,55
184,2003,High school or equivalent,LA,"1,122",425,632,65
185,2003,High school or equivalent,ME,378,129,232,16
186,2003,High school or equivalent,MD,"1,218",391,773,54
187,2003,High school or equivalent,MA,"1,449",501,884,64
188,2003,High school or equivalent,MI,"2,546",891,"1,471",185
189,2003,High school or equivalent,MN,"1,042",314,673,55
190,2003,High school or equivalent,MS,682,260,391,31
191,2003,High school or equivalent,MO,"1,511",493,939,79
192,2003,High school or equivalent,MT,245,90,146,9
193,2003,High school or equivalent,NE,431,130,288,13
194,2003,High school or equivalent,NV,567,176,363,28
195,2003,High school or equivalent,NH,303,93,196,14
196,2003,High school or equivalent,NJ,"2,113",792,"1,236",86
197,2003,High school or equivalent,NM,411,137,255,19
198,2003,High school or equivalent,NY,"4,740","1,897","2,659",184
199,2003,High school or equivalent,NC,"2,027",665,"1,264",98
200,2003,High school or equivalent,ND,158,48,101,9
201,2003,High school or equivalent,OH,"3,147","1,108","1,874",165
202,2003,High school or equivalent,OK,887,349,498,40
203,2003,High school or equivalent,OR,761,291,421,50
204,2003,High school or equivalent,PA,"3,747","1,399","2,186",162
205,2003,High school or equivalent,RI,262,86,164,12
206,2003,High school or equivalent,SC,"1,009",327,637,44
207,2003,High school or equivalent,SD,195,52,135,8
208,2003,High school or equivalent,TN,"1,483",484,937,62
209,2003,High school or equivalent,TX,"4,271","1,344","2,684",243
210,2003,High school or equivalent,UT,463,141,306,17
211,2003,High school or equivalent,VT,171,49,114,8
212,2003,High school or equivalent,VA,"1,608",552,991,64
213,2003,High school or equivalent,WA,"1,294",435,783,76
214,2003,High school or equivalent,WV,578,263,289,27
215,2003,High school or equivalent,WI,"1,491",403,994,93
216,2003,High school or equivalent,WY,131,38,88,5
217,2003,"Some college, less than 4-yr degree",Totals,"57,705","16,248","39,083","2,374"
219,2003,"Some college, less than 4-yr degree",AL,865,223,617,25
220,2003,"Some college, less than 4-yr degree",AK,156,46,104,6
221,2003,"Some college, less than 4-yr degree",AZ,"1,243",440,764,39
222,2003,"Some college, less than 4-yr degree",AR,550,168,361,22
223,2003,"Some college, less than 4-yr degree",CA,"7,829","2,383","5,105",342
224,2003,"Some college, less than 4-yr degree",CO,925,250,635,40
225,2003,"Some college, less than 4-yr degree",CT,583,180,379,24
226,2003,"Some college, less than 4-yr degree",DE,157,46,105,5
227,2003,"Some college, less than 4-yr degree",DC,84,28,51,5
228,2003,"Some college, less than 4-yr degree",FL,"3,544","1,118","2,282",144
229,2003,"Some college, less than 4-yr degree",GA,"1,547",360,"1,136",51
230,2003,"Some college, less than 4-yr degree",HI,287,82,199,7
231,2003,"Some college, less than 4-yr degree",ID,321,85,225,11
232,2003,"Some college, less than 4-yr degree",IL,"2,405",667,"1,617",122
233,2003,"Some college, less than 4-yr degree",IN,"1,118",270,810,38
234,2003,"Some college, less than 4-yr degree",IA,668,178,476,13
235,2003,"Some college, less than 4-yr degree",KS,586,141,429,16
236,2003,"Some college, less than 4-yr degree",KY,824,233,568,23
237,2003,"Some college, less than 4-yr degree",LA,830,217,578,34
238,2003,"Some college, less than 4-yr degree",ME,262,78,175,9
239,2003,"Some college, less than 4-yr degree",MD,917,219,670,28
240,2003,"Some college, less than 4-yr degree",MA,"1,133",337,748,48
241,2003,"Some college, less than 4-yr degree",MI,"2,276",652,"1,518",105
242,2003,"Some college, less than 4-yr degree",MN,"1,244",249,940,55
243,2003,"Some college, less than 4-yr degree",MS,596,201,365,29
244,2003,"Some college, less than 4-yr degree",MO,"1,170",239,893,38
245,2003,"Some college, less than 4-yr degree",MT,211,69,135,8
246,2003,"Some college, less than 4-yr degree",NE,404,84,310,11
247,2003,"Some college, less than 4-yr degree",NV,437,126,295,16
248,2003,"Some college, less than 4-yr degree",NH,268,68,192,8
249,2003,"Some college, less than 4-yr degree",NJ,"1,432",438,933,61
250,2003,"Some college, less than 4-yr degree",NM,386,126,245,15
251,2003,"Some college, less than 4-yr degree",NY,"3,472","1,125","2,195",152
252,2003,"Some college, less than 4-yr degree",NC,"1,557",433,"1,045",79
253,2003,"Some college, less than 4-yr degree",ND,164,40,118,6
254,2003,"Some college, less than 4-yr degree",OH,"2,166",562,"1,492",111
255,2003,"Some college, less than 4-yr degree",OK,738,229,486,23
256,2003,"Some college, less than 4-yr degree",OR,884,245,593,46
257,2003,"Some college, less than 4-yr degree",PA,"2,025",552,"1,388",84
258,2003,"Some college, less than 4-yr degree",RI,193,50,138,6
259,2003,"Some college, less than 4-yr degree",SC,795,241,529,26
260,2003,"Some college, less than 4-yr degree",SD,165,32,129,3
261,2003,"Some college, less than 4-yr degree",TN,"1,046",333,668,46
262,2003,"Some college, less than 4-yr degree",TX,"4,196","1,088","2,919",189
263,2003,"Some college, less than 4-yr degree",UT,527,128,375,25
264,2003,"Some college, less than 4-yr degree",VT,112,27,80,5
265,2003,"Some college, less than 4-yr degree",VA,"1,320",390,901,29
266,2003,"Some college, less than 4-yr degree",WA,"1,437",437,921,79
267,2003,"Some college, less than 4-yr degree",WV,299,100,189,10
268,2003,"Some college, less than 4-yr degree",WI,"1,220",207,958,55
269,2003,"Some college, less than 4-yr degree",WY,129,27,98,4
271,2003,Bachelor's degree or higher,Totals,695,153,530,12
272,2003,Bachelor's degree or higher,AL,695,153,530,12
273,2003,Bachelor's degree or higher,AK,93,15,77,1
274,2003,Bachelor's degree or higher,AZ,923,246,660,17
275,2003,Bachelor's degree or higher,AR,316,92,221,3
276,2003,Bachelor's degree or higher,CA,"6,780","1,650","4,931",200
277,2003,Bachelor's degree or higher,CO,"1,071",233,808,31
278,2003,Bachelor's degree or higher,CT,784,176,589,19
279,2003,Bachelor's degree or higher,DE,153,42,109,3
280,2003,Bachelor's degree or higher,DC,203,39,160,4
281,2003,Bachelor's degree or higher,FL,"2,972",818,"2,106",48
282,2003,Bachelor's degree or higher,GA,"1,425",265,"1,126",34
283,2003,Bachelor's degree or higher,HI,219,49,163,7
284,2003,Bachelor's degree or higher,ID,184,38,142,4
285,2003,Bachelor's degree or higher,IL,"2,407",537,"1,816",54
286,2003,Bachelor's degree or higher,IN,895,184,693,17
287,2003,Bachelor's degree or higher,IA,490,93,390,7
288,2003,Bachelor's degree or higher,KS,548,119,419,10
289,2003,Bachelor's degree or higher,KY,612,127,477,8
290,2003,Bachelor's degree or higher,LA,649,142,501,7
291,2003,Bachelor's degree or higher,ME,212,47,164,2
292,2003,Bachelor's degree or higher,MD,"1,401",240,"1,133",28
293,2003,Bachelor's degree or higher,MA,"1,728",314,"1,341",74
294,2003,Bachelor's degree or higher,MI,"1,560",331,"1,185",44
295,2003,Bachelor's degree or higher,MN,"1,156",195,945,15
296,2003,Bachelor's degree or higher,MS,345,75,264,5
297,2003,Bachelor's degree or higher,MO,"1,011",191,805,15
298,2003,Bachelor's degree or higher,MT,157,37,118,2
299,2003,Bachelor's degree or higher,NE,302,45,254,3
300,2003,Bachelor's degree or higher,NV,296,64,221,12
301,2003,Bachelor's degree or higher,NH,303,51,247,5
302,2003,Bachelor's degree or higher,NJ,"1,996",352,"1,584",60
303,2003,Bachelor's degree or higher,NM,282,79,199,4
304,2003,Bachelor's degree or higher,NY,"3,999",886,"2,992",121
305,2003,Bachelor's degree or higher,NC,"1,358",258,"1,073",27
306,2003,Bachelor's degree or higher,ND,111,17,92,2
307,2003,Bachelor's degree or higher,OH,"1,893",385,"1,466",42
308,2003,Bachelor's degree or higher,OK,552,108,428,16
309,2003,Bachelor's degree or higher,OR,637,160,449,28
310,2003,Bachelor's degree or higher,PA,"2,145",444,"1,661",40
311,2003,Bachelor's degree or higher,RI,207,33,168,7
312,2003,Bachelor's degree or higher,SC,605,150,440,16
313,2003,Bachelor's degree or higher,SD,118,17,100,1
314,2003,Bachelor's degree or higher,TN,935,219,690,27
315,2003,Bachelor's degree or higher,TX,"3,378",627,"2,645",107
316,2003,Bachelor's degree or higher,UT,374,79,284,11
317,2003,Bachelor's degree or higher,VT,141,26,113,3
318,2003,Bachelor's degree or higher,VA,"1,684",369,"1,282",33
319,2003,Bachelor's degree or higher,WA,"1,153",279,837,37
320,2003,Bachelor's degree or higher,WV,194,46,143,5
321,2003,Bachelor's degree or higher,WI,899,190,694,14
322,2003,Bachelor's degree or higher,WY,69,16,51,2
339,2004,Totals,Totals,"288,280","141,868","137,428","8,985"
341,2004,Totals,AL,"4,427","2,263","2,040",123
342,2004,Totals,AK,645,319,297,29
343,2004,Totals,AZ,"5,576","2,918","2,511",147
344,2004,Totals,AR,"2,671","1,404","1,193",74
345,2004,Totals,CA,"35,394","18,050","16,065","1,278"
346,2004,Totals,CO,"4,480","2,028","2,324",128
347,2004,Totals,CT,"3,421","1,659","1,647",115
348,2004,Totals,DE,820,386,413,21
349,2004,Totals,DC,554,249,283,23
350,2004,Totals,FL,"16,921","8,658","7,822",440
351,2004,Totals,GA,"8,571","4,309","4,104",159
352,2004,Totals,HI,"1,253",618,608,28
353,2004,Totals,ID,"1,360",635,687,37
354,2004,Totals,IL,"12,628","6,162","6,062",404
355,2004,Totals,IN,"6,149","2,952","3,009",187
356,2004,Totals,IA,"2,921","1,289","1,556",76
357,2004,Totals,KS,"2,683","1,214","1,384",85
358,2004,Totals,KY,"4,110","2,087","1,883",141
359,2004,Totals,LA,"4,429","2,409","1,891",129
360,2004,Totals,ME,"1,283",626,621,36
361,2004,Totals,MD,"5,493","2,573","2,785",134
362,2004,Totals,MA,"6,367","2,978","3,195",195
363,2004,Totals,MI,"9,918","4,880","4,608",429
364,2004,Totals,MN,"5,076","2,119","2,785",172
365,2004,Totals,MS,"2,854","1,506","1,295",53
366,2004,Totals,MO,"5,623","2,666","2,795",163
367,2004,Totals,MT,917,445,444,28
368,2004,Totals,NE,"1,727",735,950,43
369,2004,Totals,NV,"2,250","1,092","1,100",58
370,2004,Totals,NH,"1,264",566,667,30
371,2004,Totals,NJ,"8,579","4,136","4,189",254
372,2004,Totals,NM,"1,871",958,866,48
373,2004,Totals,NY,"18,970","9,702","8,587",680
374,2004,Totals,NC,"8,253","4,073","3,964",216
375,2004,Totals,ND,631,272,343,16
376,2004,Totals,OH,"11,247","5,253","5,608",386
377,2004,Totals,OK,"3,438","1,717","1,639",82
378,2004,Totals,OR,"3,569","1,671","1,731",167
379,2004,Totals,PA,"12,155","5,957","5,788",410
380,2004,Totals,RI,"1,053",498,521,34
381,2004,Totals,SC,"4,064","2,066","1,857",141
382,2004,Totals,SD,751,331,400,20
383,2004,Totals,TN,"5,909","2,927","2,836",146
384,2004,Totals,TX,"21,858","11,031","10,163",665
385,2004,Totals,UT,"2,352","1,158","1,122",72
386,2004,Totals,VT,611,260,334,17
387,2004,Totals,VA,"7,386","3,588","3,617",181
388,2004,Totals,WA,"6,091","2,833","3,023",236
389,2004,Totals,WV,"1,787","1,022",716,50
390,2004,Totals,WI,"5,429","2,400","2,840",189
391,2004,Totals,WY,488,220,258,10
392,2004,Children under 15,Totals,"60,696","60,696",.,.
395,2004,Children under 15,AL,916,916,.,.
396,2004,Children under 15,AK,156,156,.,.
397,2004,Children under 15,AZ,"1,321","1,321",.,.
398,2004,Children under 15,AR,573,573,.,.
399,2004,Children under 15,CA,"7,914","7,914",.,.
400,2004,Children under 15,CO,968,968,.,.
401,2004,Children under 15,CT,674,674,.,.
402,2004,Children under 15,DE,162,162,.,.
403,2004,Children under 15,DC,92,92,.,.
404,2004,Children under 15,FL,"3,262","3,262",.,.
405,2004,Children under 15,GA,"1,919","1,919",.,.
406,2004,Children under 15,HI,258,258,.,.
407,2004,Children under 15,ID,311,311,.,.
408,2004,Children under 15,IL,"2,704","2,704",.,.
409,2004,Children under 15,IN,"1,337","1,337",.,.
410,2004,Children under 15,IA,565,565,.,.
411,2004,Children under 15,KS,572,572,.,.
412,2004,Children under 15,KY,824,824,.,.
413,2004,Children under 15,LA,953,953,.,.
414,2004,Children under 15,ME,227,227,.,.
415,2004,Children under 15,MD,"1,140","1,140",.,.
416,2004,Children under 15,MA,"1,236","1,236",.,.
417,2004,Children under 15,MI,"2,067","2,067",.,.
418,2004,Children under 15,MN,"1,018","1,018",.,.
419,2004,Children under 15,MS,627,627,.,.
420,2004,Children under 15,MO,"1,162","1,162",.,.
421,2004,Children under 15,MT,174,174,.,.
422,2004,Children under 15,NE,357,357,.,.
423,2004,Children under 15,NV,497,497,.,.
424,2004,Children under 15,NH,249,249,.,.
425,2004,Children under 15,NJ,"1,797","1,797",.,.
426,2004,Children under 15,NM,422,422,.,.
427,2004,Children under 15,NY,"3,702","3,702",.,.
428,2004,Children under 15,NC,"1,764","1,764",.,.
429,2004,Children under 15,ND,119,119,.,.
430,2004,Children under 15,OH,"2,308","2,308",.,.
431,2004,Children under 15,OK,725,725,.,.
432,2004,Children under 15,OR,705,705,.,.
433,2004,Children under 15,PA,"2,321","2,321",.,.
434,2004,Children under 15,RI,200,200,.,.
435,2004,Children under 15,SC,838,838,.,.
436,2004,Children under 15,SD,159,159,.,.
437,2004,Children under 15,TN,"1,152","1,152",.,.
438,2004,Children under 15,TX,"5,286","5,286",.,.
439,2004,Children under 15,UT,626,626,.,.
440,2004,Children under 15,VT,108,108,.,.
441,2004,Children under 15,VA,"1,495","1,495",.,.
442,2004,Children under 15,WA,"1,230","1,230",.,.
443,2004,Children under 15,WV,320,320,.,.
444,2004,Children under 15,WI,"1,087","1,087",.,.
445,2004,Children under 15,WY,98,98,.,.
446,2004,No high school diploma,Totals,"46,575","27,738","16,400","2,437"
448,2004,No high school diploma,AL,784,514,233,37
449,2004,No high school diploma,AK,87,50,30,6
450,2004,No high school diploma,AZ,894,462,384,48
451,2004,No high school diploma,AR,516,330,165,21
452,2004,No high school diploma,CA,"6,519","3,622","2,512",385
453,2004,No high school diploma,CO,611,318,262,30
454,2004,No high school diploma,CT,496,312,146,37
455,2004,No high school diploma,DE,129,75,49,6
456,2004,No high school diploma,DC,78,49,25,4
457,2004,No high school diploma,FL,"2,663","1,674",876,112
458,2004,No high school diploma,GA,"1,374",849,491,34
459,2004,No high school diploma,HI,164,114,46,4
460,2004,No high school diploma,ID,196,108,75,13
461,2004,No high school diploma,IL,"1,878","1,098",679,101
462,2004,No high school diploma,IN,920,556,313,51
463,2004,No high school diploma,IA,397,225,151,21
464,2004,No high school diploma,KS,359,198,136,25
465,2004,No high school diploma,KY,772,494,236,42
466,2004,No high school diploma,LA,924,622,257,44
467,2004,No high school diploma,ME,199,135,52,12
468,2004,No high school diploma,MD,825,461,321,44
469,2004,No high school diploma,MA,948,632,293,23
470,2004,No high school diploma,MI,"1,447",908,418,122
471,2004,No high school diploma,MN,540,328,182,29
472,2004,No high school diploma,MS,501,326,161,13
473,2004,No high school diploma,MO,793,485,273,35
474,2004,No high school diploma,MT,107,71,32,4
475,2004,No high school diploma,NE,218,117,90,11
476,2004,No high school diploma,NV,336,183,141,12
477,2004,No high school diploma,NH,160,89,62,9
478,2004,No high school diploma,NJ,"1,199",743,396,61
479,2004,No high school diploma,NM,325,200,111,14
480,2004,No high school diploma,NY,"3,072","1,944",952,176
481,2004,No high school diploma,NC,"1,539",885,583,71
482,2004,No high school diploma,ND,84,52,28,4
483,2004,No high school diploma,OH,"1,665",984,559,122
484,2004,No high school diploma,OK,544,337,199,8
485,2004,No high school diploma,OR,499,265,183,51
486,2004,No high school diploma,PA,"1,849","1,223",531,94
487,2004,No high school diploma,RI,201,129,62,10
488,2004,No high school diploma,SC,727,474,221,33
489,2004,No high school diploma,SD,113,62,44,7
490,2004,No high school diploma,TN,"1,031",633,358,40
491,2004,No high school diploma,TX,"4,498","2,453","1,838",207
492,2004,No high school diploma,UT,312,155,130,27
493,2004,No high school diploma,VT,78,44,28,5
494,2004,No high school diploma,VA,996,559,394,42
495,2004,No high school diploma,WA,827,490,278,59
496,2004,No high school diploma,WV,348,263,72,13
497,2004,No high school diploma,WI,781,407,319,55
498,2004,No high school diploma,WY,57,31,23,3
499,2004,High school or equivalent,Totals,"68,303","24,463","40,754","3,086"
501,2004,High school or equivalent,AL,"1,120",425,654,42
502,2004,High school or equivalent,AK,146,48,84,14
503,2004,High school or equivalent,AZ,"1,133",424,662,47
504,2004,High school or equivalent,AR,753,268,451,34
505,2004,High school or equivalent,CA,"5,888","2,168","3,357",363
506,2004,High school or equivalent,CO,873,293,536,44
507,2004,High school or equivalent,CT,788,300,459,28
508,2004,High school or equivalent,DE,227,73,145,9
509,2004,High school or equivalent,DC,107,39,61,7
510,2004,High school or equivalent,FL,"4,173","1,693","2,339",141
511,2004,High school or equivalent,GA,"2,098",745,"1,273",80
512,2004,High school or equivalent,HI,298,104,183,11
513,2004,High school or equivalent,ID,317,85,219,13
514,2004,High school or equivalent,IL,"3,094","1,155","1,780",159
515,2004,High school or equivalent,IN,"1,806",605,"1,136",66
516,2004,High school or equivalent,IA,783,227,525,31
517,2004,High school or equivalent,KS,576,179,370,27
518,2004,High school or equivalent,KY,"1,109",429,634,46
519,2004,High school or equivalent,LA,"1,145",447,656,41
520,2004,High school or equivalent,ME,378,139,223,16
521,2004,High school or equivalent,MD,"1,289",451,795,44
522,2004,High school or equivalent,MA,"1,439",495,861,84
523,2004,High school or equivalent,MI,"2,551",966,"1,410",174
524,2004,High school or equivalent,MN,"1,099",314,736,49
525,2004,High school or equivalent,MS,741,273,454,15
526,2004,High school or equivalent,MO,"1,484",543,874,67
527,2004,High school or equivalent,MT,255,100,142,14
528,2004,High school or equivalent,NE,420,122,284,14
529,2004,High school or equivalent,NV,577,185,370,22
530,2004,High school or equivalent,NH,285,85,192,9
531,2004,High school or equivalent,NJ,"2,127",743,"1,316",68
532,2004,High school or equivalent,NM,408,141,251,16
533,2004,High school or equivalent,NY,"4,659","1,876","2,583",200
534,2004,High school or equivalent,NC,"2,002",685,"1,243",74
535,2004,High school or equivalent,ND,158,48,105,5
536,2004,High school or equivalent,OH,"3,203","1,052","2,001",150
537,2004,High school or equivalent,OK,863,326,506,31
538,2004,High school or equivalent,OR,814,294,477,43
539,2004,High school or equivalent,PA,"3,883","1,468","2,234",180
540,2004,High school or equivalent,RI,263,91,161,12
541,2004,High school or equivalent,SC,985,337,587,62
542,2004,High school or equivalent,SD,181,55,120,6
543,2004,High school or equivalent,TN,"1,623",555,"1,021",46
544,2004,High school or equivalent,TX,"4,333","1,390","2,749",194
545,2004,High school or equivalent,UT,461,148,297,16
546,2004,High school or equivalent,VT,163,49,108,6
547,2004,High school or equivalent,VA,"1,782",651,"1,066",66
548,2004,High school or equivalent,WA,"1,261",438,743,81
549,2004,High school or equivalent,WV,610,283,300,27
550,2004,High school or equivalent,WI,"1,445",418,940,86
551,2004,High school or equivalent,WY,125,39,83,3
552,2004,"Some college, less than 4-yr degree",Totals,"58,608","17,004","39,420","2,184"
554,2004,"Some college, less than 4-yr degree",AL,929,263,630,36
555,2004,"Some college, less than 4-yr degree",AK,154,42,106,7
556,2004,"Some college, less than 4-yr degree",AZ,"1,226",399,791,36
557,2004,"Some college, less than 4-yr degree",AR,492,158,325,10
558,2004,"Some college, less than 4-yr degree",CA,"7,718","2,502","4,905",310
559,2004,"Some college, less than 4-yr degree",CO,951,230,685,35
